"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 26 15:18:01 GMT 2025","Sat Jul 26 15:18:03 GMT 2025","2162","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Jul 26 15:18:08 GMT 2025","Sat Jul 26 15:18:10 GMT 2025","1611","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sat Jul 26 15:18:11 GMT 2025","Sat Jul 26 15:18:14 GMT 2025","3076","LMS system","Courses","Courses","","","Edit course",""
"passed","Sat Jul 26 15:18:03 GMT 2025","Sat Jul 26 15:18:06 GMT 2025","3106","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Sat Jul 26 15:18:14 GMT 2025","Sat Jul 26 15:18:16 GMT 2025","1547","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Sat Jul 26 15:18:13 GMT 2025","Sat Jul 26 15:18:13 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentification","","","test_password_reset",""
"passed","Sat Jul 26 15:18:10 GMT 2025","Sat Jul 26 15:18:13 GMT 2025","2607","LMS system","Courses","Courses","","","Create course",""
"passed","Sat Jul 26 15:18:03 GMT 2025","Sat Jul 26 15:18:05 GMT 2025","1613","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Jul 26 15:18:13 GMT 2025","Sat Jul 26 15:18:13 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Sat Jul 26 15:18:01 GMT 2025","Sat Jul 26 15:18:03 GMT 2025","2080","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Jul 26 15:18:05 GMT 2025","Sat Jul 26 15:18:07 GMT 2025","1532","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Sat Jul 26 15:18:13 GMT 2025","Sat Jul 26 15:18:13 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentification","","","test_logout",""
"passed","Sat Jul 26 15:18:13 GMT 2025","Sat Jul 26 15:18:13 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Sat Jul 26 15:18:07 GMT 2025","Sat Jul 26 15:18:09 GMT 2025","1656","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Sat Jul 26 15:18:13 GMT 2025","Sat Jul 26 15:18:13 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentification","","","test_login",""
"passed","Sat Jul 26 15:18:13 GMT 2025","Sat Jul 26 15:18:13 GMT 2025","1","tests.pytest","test_markers","","","","test_regression_case",""
